24
r,111.0,474.0,111.0,474.0
r,519.0,257.0,606.0,339.0
r,753.0,315.0,1108.0,516.0
r,1334.0,403.0,1608.0,583.0
r,1500.0,158.0,1560.0,244.0
r,389.0,646.0,881.0,838.0
r,415.0,367.0,532.0,465.0
r,302.0,74.0,399.0,182.0
r,58.0,61.0,134.0,176.0
r,1393.0,792.0,1702.0,939.0
r,1713.0,287.0,1791.0,359.0
r,223.0,408.0,223.0,408.0
r,189.0,397.0,189.0,396.0
c,167.0,396.0,167.0,396.0
c,115.0,654.0,168.0,750.0
c,238.0,595.0,330.0,633.0
c,534.0,527.0,618.0,574.0
c,708.0,462.0,722.0,482.0
c,794.0,363.0,855.0,400.0
c,1167.0,555.0,1195.0,587.0
c,1235.0,619.0,1268.0,671.0
c,1159.0,692.0,1160.0,714.0
c,1453.0,673.0,1564.0,713.0
c,1256.0,177.0,1292.0,213.0
